"Region","Location","SampleID","POPGROUP","Fraction"
"Archbold","Archbold","ALD01",1,1e-05
"Archbold","Archbold","ALD01",2,0.999959
"Archbold","Archbold","ALD01",3,1.1e-05
"Archbold","Archbold","ALD01",4,1e-05
"Archbold","Archbold","ALD01",5,1e-05
"Archbold","Archbold","ALD02",1,1e-05
"Archbold","Archbold","ALD02",2,0.999952
"Archbold","Archbold","ALD02",3,1.8e-05
"Archbold","Archbold","ALD02",4,1e-05
"Archbold","Archbold","ALD02",5,1e-05
"Archbold","Archbold","ALD03",1,1e-05
"Archbold","Archbold","ALD03",2,0.99996
"Archbold","Archbold","ALD03",3,1e-05
"Archbold","Archbold","ALD03",4,1e-05
"Archbold","Archbold","ALD03",5,1e-05
"Archbold","Archbold","ALD04",1,1.1e-05
"Archbold","Archbold","ALD04",2,0.999959
"Archbold","Archbold","ALD04",3,1e-05
"Archbold","Archbold","ALD04",4,1e-05
"Archbold","Archbold","ALD04",5,1e-05
"Archbold","Archbold","ALD05",1,1e-05
"Archbold","Archbold","ALD05",2,0.99996
"Archbold","Archbold","ALD05",3,1e-05
"Archbold","Archbold","ALD05",4,1e-05
"Archbold","Archbold","ALD05",5,1e-05
"Archbold","Archbold","ALD06",1,1e-05
"Archbold","Archbold","ALD06",2,0.99996
"Archbold","Archbold","ALD06",3,1e-05
"Archbold","Archbold","ALD06",4,1e-05
"Archbold","Archbold","ALD06",5,1e-05
"Archbold","Archbold","ALD07",1,1e-05
"Archbold","Archbold","ALD07",2,0.995285
"Archbold","Archbold","ALD07",3,1e-05
"Archbold","Archbold","ALD07",4,1e-05
"Archbold","Archbold","ALD07",5,0.004685
"Archbold","Archbold","ALD08",1,1e-05
"Archbold","Archbold","ALD08",2,0.99996
"Archbold","Archbold","ALD08",3,1e-05
"Archbold","Archbold","ALD08",4,1e-05
"Archbold","Archbold","ALD08",5,1e-05
"Archbold","Archbold","ALD09",1,1e-05
"Archbold","Archbold","ALD09",2,0.99996
"Archbold","Archbold","ALD09",3,1e-05
"Archbold","Archbold","ALD09",4,1e-05
"Archbold","Archbold","ALD09",5,1e-05
"Archbold","Archbold","ALD10",1,1e-05
"Archbold","Archbold","ALD10",2,0.999956
"Archbold","Archbold","ALD10",3,1.4e-05
"Archbold","Archbold","ALD10",4,1e-05
"Archbold","Archbold","ALD10",5,1e-05
"Archbold","Archbold","ALD11",1,1e-05
"Archbold","Archbold","ALD11",2,0.99996
"Archbold","Archbold","ALD11",3,1e-05
"Archbold","Archbold","ALD11",4,1e-05
"Archbold","Archbold","ALD11",5,1e-05
"Archbold","Archbold","ALD12",1,1e-05
"Archbold","Archbold","ALD12",2,0.99996
"Archbold","Archbold","ALD12",3,1e-05
"Archbold","Archbold","ALD12",4,1e-05
"Archbold","Archbold","ALD12",5,1e-05
"Archbold","Archbold","ALD13",1,1e-05
"Archbold","Archbold","ALD13",2,0.999956
"Archbold","Archbold","ALD13",3,1e-05
"Archbold","Archbold","ALD13",4,1.4e-05
